product_id,product_size,product_upc,productlink_id,productlink_buyprice,productlink_presale,productlink_price
3058,1 ea.,,3118,0.0000,,25.0000
3059,1 ea.,,3119,0.0000,,50.0000
3060,1 ea,,3120,0.0000,,75.0000
3061,1 ea.,,3121,0.0000,,100.0000
3062,1 ea,,3122,0.0000,,150.0000
3063,1 ea.,,3123,0.0000,,250.0000
3831,1 Dozen,,3860,0.0000,,42.0000
3830,1 Dozen,,3859,0.0000,,54.0000
3832,1 Dozen,,3861,0.0000,,42.0000
3991,1 ct,,4019,0.0000,,1.5900
3851,100 Ct Bag,,3880,0.0000,,1.3900
4407,12 oz. ,,4432,0.0000,,2.4900
4233,20 ct,,4261,0.0000,,2.2900
2147,1 BAR,,2209,0.0000,,0.9900
2148,8 CT,,2210,0.0000,,5.4900
1553,Approx 8 oz,,1565,0.0000,,10.9900
577,750 ml,,582,0.0000,,9.9900
4023,.5 OZ BTL,,4051,0.0000,,6.1900
797,2 Liter,,801,0.0000,,1.9900
4282,5.5 OZ CAN,,4307,0.0000,,2.8900
798,2 LTR BTL,,802,0.0000,,1.9900
781,12 oz Can,,785,0.0000,,5.9900
3253,10 OZ BTL,,3312,0.0000,,5.6900
3254,5 OZ BTL,,3313,0.0000,,3.6500
1554,Approx 8 oz,,1566,0.0000,,8.9900
4462,1 EA,,4487,0.0000,,2.5000
4103,40 CT BTL,,4131,0.0000,,11.5900
4104,24 CT BTL,,4132,0.0000,,6.2900
1555,Approx 8 oz,,1567,0.0000,,8.9900
1142,12 oz pkg,,1146,0.0000,,5.9900
1143,12 oz pkg,,1147,0.0000,,5.9900
1144,12 oz pkg,,1148,0.0000,,5.9900
1145,12 oz pkg,,1149,0.0000,,5.9900
4199,6 OZ PKG,,4227,0.0000,,1.8900
4030,10 tablets,,4058,0.0000,,8.9900
4031,10 tablets,,4059,0.0000,,8.9900
4025,6 CT BOX,,4053,0.0000,,8.3900
819,12 oz btls,,823,0.0000,,5.2900
1308,3.5 oz jar,,1320,0.0000,,2.8900
2545,6 oz bag,,2607,0.0000,,2.9900
2546,6 oz bag,,2608,0.0000,,2.9900
2547,6 oz bag,,2609,0.0000,,2.9900
2548,6 oz bag,,2610,0.0000,,2.9900
2549,6 oz bag,,2611,0.0000,,2.9900
4105,24 CT BTL,,4133,0.0000,,6.2900
1929,15 oz bag,,1985,0.0000,,5.5900
1825,12 oz ,,1881,0.0000,,5.5900
1826,12 oz pkg,,1882,0.0000,,5.5900
1930,15 oz bag,,1986,0.0000,,4.0900
1931,11 oz bag,,1987,0.0000,,4.9900
1932,15 oz bag,,1988,0.0000,,4.0900
1933,20 oz bag,,1989,0.0000,,5.5900
1827,12 oz pkg,,1883,0.0000,,5.5900
4068,36 CT BOX,,4096,0.0000,,7.3900
4069,24 CT BOX,,4097,0.0000,,5.6900
4158,50 oz,,4186,0.0000,,6.9900
