product_id,product_size,product_title,product_upc,productlink_id,productlink_buyprice,productlink_presale,productlink_price
2826,6 ct box,100 Calorie Pack - Barnum Animal Chocolate Crackers,,8946,3.29,2.25,10.38
2905,6 ct box,100 Calorie Pack - Cheese Nips Thin Crisps,,9025,2.78,0,3.53
2906,6 ct box,100 Calorie Pack - Cheetos,,9026,2,2.54,2.54
2907,6 ct box,100 Calorie Pack - Chex Cheddar,,9027,1.98,2.54,2.51
2908,6 ct box,100 Calorie Pack - Chex Chocolate Caramel,,9028,1.98,2.54,2.51
2827,6 ct box,100 Calorie Pack - Chips Ahoy! Thin Crisps,,8947,3.29,2.54,4.38
2909,6 ct box,100 Calorie Pack - Doritos,,9029,2,2.54,2.54
2910,5 ct box,100 Calorie Pack - Goldfish,,9030,2.78,2.54,3.53
2825,6 ct box,100 Calorie Pack - Grasshopper Cookies,,8945,3.29,2.54,4.38
2828,6 ct box,100 Calorie Pack - Lorna Doone Shortbread Cookies,,8948,3.29,2.54,4.38
2829,6 ct box,100 Calorie Pack - Oreo Thin Crisps,,8949,3.29,2.54,4.38
2830,6 ct box,100 Calorie Pack - Planters Peanut Butter Cookie Crisps,,8950,3.29,2.54,4.38
2911,6 ct box,100 Calorie Pack - Sun Chips,,9031,2,2.54,2.54
2912,6 ct box,100 Calorie Pack - Wheat Thins Toasted Chips,,9032,2.25,2.54,2.86
1928,30 ct pkg,100 Calorie Variety Snack Packs (Sun Chips®/Cheetos®)- 30 Pack,,8017,9.12,2.54,10.72
2782,1 BAR,3 Musketeers,,8902,0.64,2.54,0.84
2361,12 oz cans,3M® Dust Remover -6 Pack,,8474,17.63,2.54,20.72
425,2 LTR BTL,7-Up,,6499,1.48,2.54,1.89
426,2 LTR BTL,7-Up - Diet,,6500,1.48,2.54,1.89
463,12 oz can,7up,,6537,4.68,2.54,4.99
464,12 oz can,7up - Diet,,6538,4.68,2.54,4.99
444,2 ltr btl,A & W Root Beer,,6518,1.48,2.54,1.89
445,2 ltr btl,A & W Root Beer - Diet,,6519,1.48,2.54,1.89
488,12 oz can,A&W Root Beer,,6562,4.5,2.54,4.89
489,12 oz can,A&W Root Beer - Diet,,6563,4.5,2.54,4.89
2003,3 lb jug,ACT II® Buttery Popcorn Salt - 3 lb jug,,8092,3.34,2.54,3.92
2004,3.3 oz bags,ACT II® Microwave Butter Lovers Popcorn - 28 ct.,,8093,7.84,2.54,9.21
2005,3.3 oz bags,ACT II® Microwave Butter Popcorn- 28 ct.,,8094,7.84,2.54,9.21
2006,1 gal,ACT II® Topping and Popping Oil - 1 Gallon Jug,,8095,9.86,2.54,11.59
1090,13.5 oz,Adidas After Sport 2 In 1 Shampoo/Bodywash For Men ,,7164,3.97,2.54,4.96
1091,14 oz,Adidas Deep Energy Body Wash ,,7165,3.99,2.54,4.99
5609,4 oz,Advil Fever Reducer/Pain Reliever; 100 mg; Grape-Flavored Liquid ,,11694,5.49,2.54,6.59
5662,200 ea,Advil Gel Caplets ,,11747,14.99,2.54,18.74
5663,50 ea,Advil Ibuprofen Caplets ,,11748,5.99,7.49,6.49
5664,100 ct,Advil Liqui-Gels Ibuprofen ,,11749,8.39,7.49,10.49
5665,100 ea,Advil Pain Reliever/Fever Reducer; 200 mg; Coated Caplets ,,11750,8.99,7.49,11.24
5666,100 ea,Advil Pain Reliever/Fever Reducer; 200 mg; Coated Gel Caplets ,,11751,8.99,7.49,11.24
5667,50 ea,Advil Pain Reliever/Fever Reducer; 200 mg; Coated Tablets ,,11752,5.79,7.49,7.24
5668,100 ea,Advil Pain Reliever/Fever Reducer; 200 mg; Coated Tablets ,,11753,8.99,7.49,11.24
5669,200 ea,Advil Pain Reliever/Fever Reducer; 200 mg; Coated Tablets ,,11754,14.99,7.49,18.74
5670,40 ea,Advil Pain Reliever/Fever Reducer; 200 mg; Liquid Filled Capsules ,,11755,6.79,7.49,8.49
5671,80 ea,Advil Pain Reliever/Fever Reducer; 200 mg; Liquid Filled Capsules ,,11756,8.39,7.49,10.49
5672,200 ea,Advil Pain Reliever/Fever Reducer; Coated Caplets ,,11757,14.99,7.49,18.74
4902,1 ea,Air Wick Automatic Spray Aerosol; Concentrated; Comforting Vanilla Indulgence ,,11006,7.99,7.49,9.19
4903,1 ea,Air Wick Automatic Spray Aerosol; Concentrated; Fresh Waters ,,11007,7.99,7.49,9.19
4904,6 oz,Air Wick Automatic Spray Refill ,,11008,5.29,7.49,6.08
4905,0.8 oz,Air Wick Automatic Spray Refill; Fresh Waters ,,11009,5.29,7.49,6.08
4906,6.17 oz,Air Wick Automatic Spray; Fresh Waters ,,11010,12.49,7.49,14.36
4907,2 ea,Air Wick Oil Refills; Fresh Waters Scented ,,11011,5.99,7.49,6.89
4908,2 ea,Air Wick Oil Refills; Lavender & Chamomile Scented; Value Pack ,,11012,5.99,7.49,6.89
4909,1 ea,Air Wick Oil Warmer; Scented ,,11013,0.99,7.49,1.14
4910,2 ea,Air Wick Refill ,,11014,5.99,7.49,6.89
4911,0.71 oz,Air Wick Scented Oil Refill; Apple & Cinnamon Velvet ,,11015,3.59,7.49,4.13
4912,2 ea,Air Wick Scented Oil Refills; Vanilla Snow & Soft Cashmere; Value Pack ,,11016,5.99,7.49,6.89
4913,1 ea,Air Wick Scented Oil; Lavender & Vanilla ,,11017,7.99,7.49,9.19
4914,1 ea,Air Wick Scented Oil; Mountain Breeze ,,11018,7.99,7.49,9.19
2049,90 ct,Airheads® Singles Assorted Flavors ,,8153,7.79,7.49,9.15
2050,18 ct,Airheads® Xtremes Sour Belts ,,8154,7.73,7.49,9.08
4915,6.17 oz,Airwick Fresh Matic Refill Spray Fresh Waters ,,11019,5.29,7.49,6.08
4916,6.17 oz,Airwick Fresh Matic Spray Lavender ,,11020,5.29,7.49,6.08
4917,0.07 oz,Airwick Fresh Waters Oil Refills ,,11021,3.19,7.49,3.67
4918,0.71 oz,Airwick Scented Oil Refill Calming ,,11022,3.59,7.49,4.13
4919,0.71 oz,Airwick Scented Oil Refill Relaxation ,,11023,3.59,7.49,4.13
2328,4 Pieces,Airwick® Freshmatic®  Mini + 3 Refills,,8441,15.68,7.49,18.42
2329,7 Pieces,Airwick® Scented Oils - 3 Warmers + 4 Refills,,8442,9.76,7.49,11.47
2330,5 Pieces,Airwick® Scented Oils - 5 Pack Refills,,8443,9.76,7.49,11.47
5154,34 oz,Ajax Dish Liquid Antibacterial Orange ,,11263,2.55,7.49,3.19
5155,34 oz,Ajax Dish Liquid Lemon ,,11264,2.55,7.49,3.19
5156,34 oz,Ajax Dish Liquid Ruby Red Grapefruit w/Bleach ,,11265,2.55,7.49,3.19
1092,32 oz,Alba Bath & Shower Gel ,,7166,15.99,7.49,19.99
1093,7 oz,Alba Body Wash ,,7167,8.49,7.49,10.61
1094,12 oz,Alba Very Emollient Bath & Shower Gel ,,7168,9.49,7.49,11.86
4136,22 oz,Alexia Fam Sz Oven Reds Olive Oil Parmesan Garlic ,,10233,3.29,7.49,3.95
4137,20 oz,Alexia Julienne Sweet Potato Fries ,,10234,3.29,7.49,3.95
4138,22 oz,Alexia Organic Yukon Gold Juliene Fries w/Sea Salt ,,10235,3.29,7.49,3.95
2364,172 OZ JUG,All® 2X Free & Clear Detergent - 110 Loads,,8477,13.87,7.49,16.3
2783,1 BAR,Almond Joy,,8903,0.64,7.49,0.84
396,10 ea,Alpine Instant Drink Mix; Sugar Free; Spiced Apple Cider ,,6470,2.49,7.49,3.06
2814,1.7 OZ PKG,Altoids Curiously Strong Peppermint,,8934,1.99,7.49,2.65
743,32 ct pkg,Always Ultra Thin Pads - Long Super,,6817,5.52,7.49,5.74
744,28 ct pkg,Always Ultra Thin Pads - Overnight,,6818,5.52,7.49,5.74
742,36 ct pkg,Always Ultra Thin Pads - Regular,,6816,5.52,7.49,5.74
741,36 ct pkg,Always Ultra Thin Pads - Slender,,6815,5.52,7.49,5.74
2201,5 lb pkg,Apples Fuji - 5 lb pkg,,8314,5.88,7.49,6.91
2202,6 lbs,Apples Red Delicious - 6 lbs,,8315,7.88,7.49,9.26
348,10 ea,Arizona Iced Tea/Lemonade Stix; Half & Half ,,6422,2.99,7.49,3.65
5219,144 ea,Arm & Hammer Essentials Fabric Softener Sheets Mountain Rain ,,11328,3.99,7.49,4.83
4920,1 lb,Arm & Hammer Fridge-N-Freezer Odor Absorber Baking Soda ,,11024,0.99,7.49,1.14
4921,30 oz,Arm & Hammer Odor & Dirt Eliminator; Plus Oxi Clean Dirt Fighters; Carpet & Room ,,11025,1.89,7.49,2.17
5102,30 oz,Arm & Hammer Odor Eliminating Powder - Country Breeze,,11210,1.89,7.49,2.46
5103,30 oz,Arm & Hammer Odor Eliminating Powder - Island Mist,,11211,1.89,7.49,2.46
5104,30 oz,Arm & Hammer Odor Eliminating Powder - Pet Hair Release,,11212,1.89,7.49,2.46
4922,30 oz,Arm & Hammer Odor Eliminator ,,11026,1.89,7.49,2.17
4923,30 oz,Arm & Hammer Odor Eliminator For Carpet & Room ,,11027,1.89,7.49,2.17
5113,32 oz,Armstrong Floor Cleaner; Concentrated; Citrus Fresh ,,11221,4.99,7.49,5.84
1484,11 oz,Aunt Millie's Blueberry Muffins ,,7558,1.99,7.49,2.69
1485,6 ea,Aunt Millie's Chocolate Chip Muffins ,,7559,1.99,7.49,2.69
1366,16 oz,Aunt Millie's Cranberry Apple Swirl Bread ,,7440,2.99,7.49,3.65
1367,8 ea,Aunt Millie's Deli Mini Sub Buns ,,7441,2.99,7.49,3.65
1368,8 ea,Aunt Millie's Deli Onion Buns ,,7442,2.99,7.49,3.65
1369,6 ea,Aunt Millie's Deli Super Sub Rolls ,,7443,2.99,7.49,3.65
1370,17 oz,Aunt Millie's Deluxe Hearth Whole Wheat Hamburger Buns ,,7444,2.5,7.49,3.05
1371,8 ea,Aunt Millie's Deluxe White Hamburger Buns ,,7445,2.79,7.49,3.4
1372,8 ct,Aunt Millie's Deluxe White Hot Dog Buns ,,7446,2.79,7.49,3.4
1374,17 oz,Aunt Millie's Hearth 100% Whole Wheat Hamburger Buns ,,7448,2.5,7.49,3.05
1375,8 ea,Aunt Millie's Hearth Classic Seed Aunt Milliesburger Buns ,,7449,2.5,7.49,3.05
1376,28 oz,Aunt Millie's Hearth Honey Crunchy Oat Bread ,,7450,2.69,7.49,3.28
1377,12 oz,Aunt Millie's Hearth Whole Grain Deluxe Hot Dog Buns ,,7451,2.5,7.49,3.05
1378,8 ea,Aunt Millie's Homestyle Hamburger Buns ,,7452,2.69,7.49,3.28
1379,12 oz,Aunt Millie's Homestyle White Hamburger Buns 8 Count ,,7453,1.5,7.49,1.83
1380,21 oz,Aunt Millie's Homestyle White Hot Dog Buns ,,7454,1.5,7.49,1.83
1381,14 oz,Aunt Millie's Homestyle Whole Grain Wheat Buns ,,7455,1.5,7.49,1.83
1382,8 ea,Aunt Millie's Honey Hot Dog Buns ,,7456,2.69,7.49,3.28
1383,8 ea,Aunt Millie's Mini Deli Wheat Sub Buns ,,7457,2.99,7.49,3.65
1387,24 oz,Aunt Millie's Old Fashion Whole Grain Dinner Rolls ,,7461,3.19,7.49,3.89
1384,8 ct,Aunt Millie's Old Fashioned Hot Dog Buns ,,7458,3.19,7.49,3.89
1385,8 ct,Aunt Millie's Old Fashioned White Hamburger Buns ,,7459,3.19,7.49,3.89
1386,8 ea,Aunt Millie's Rolls; Enriched; Deli Style; Kaiser ,,7460,2.99,7.49,3.65
1486,6 ea,Aunt Millie's Whole Grain Brownie Muffins ,,7560,1.99,7.49,2.69
1373,12 ct,Aunt Millies Hawaiian Dinner Rolls ,,7447,3.19,7.49,3.89
1095,8 oz,Aura Cacia Aromatherapy Body Wash ,,7169,9.99,7.49,12.49
1096,8 oz,Aura Cacia Body Wash ,,7170,9.99,7.49,12.49
